id,name
2,Goldberg
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
CME,False,1.5,0.0,True,1.5,GE,future
CME,False,1.5,0.0,True,1.5,GF,future
CME,False,1.5,0.0,True,1.5,LBS,future
CME,False,1.5,0.0,True,1.5,LE,future
CME,False,1.5,0.0,True,1.5,LH,future
CME,False,1.5,0.0,True,1.5,NK,future
CME,False,1.5,0.0,True,1.5,NQ,future
CME,False,1.5,0.0,True,1.5,RY,future
CME,False,1.5,0.0,True,1.5,SP,future
COMEX,False,1.5,0.0,True,1.5,,future
COMEX,False,1.5,0.0,True,1.5,GC,future
COMEX,False,1.5,0.0,True,1.5,GCK,future
COMEX,False,1.5,0.0,True,1.5,HG,future
COMEX,False,1.5,0.0,True,1.5,MGC,future
COMEX,False,1.5,0.0,True,1.5,SI,future
DGCX,False,2.0,0.0,True,2.0,,future
EUREX,False,1.5,0.0,True,1.5,,future
EUREX,False,1.5,0.0,True,1.5,CONF,future
EUREX,False,1.5,0.0,True,1.5,FBON,future
EUREX,False,1.5,0.0,True,1.5,FBTP,future
EUREX,False,1.5,0.0,True,1.5,FBTS,future
EUREX,False,1.5,0.0,True,1.5,FDAX,future
EUREX,False,1.5,0.0,True,1.5,FDXM,future
EUREX,False,1.5,0.0,True,1.5,FESU,future
EUREX,False,1.5,0.0,True,1.5,FESX,future
EUREX,False,1.5,0.0,True,1.5,FGBL,future
EUREX,False,1.5,0.0,True,1.5,FGBM,future
EUREX,False,1.5,0.0,True,1.5,FGBS,future
EUREX,False,1.5,0.0,True,1.5,FOAM,future
EUREX,False,1.5,0.0,True,1.5,FOAT,future
EUREX,False,1.5,0.0,True,1.5,FSMI,future
EUREX,False,1.5,0.0,True,1.5,FSTA,future
EUREX,False,1.5,0.0,True,1.5,FSTE,future
EUREX,False,1.5,0.0,True,1.5,FSTL,future
EUREX,False,1.5,0.0,True,1.5,FSTY,future
EUREX,False,1.5,0.0,True,1.5,FVS,future
EURONEXT,False,1.5,0.0,True,1.5,,future
EURONEXT,False,1.5,0.0,True,1.5,EBM,future
EURONEXT,False,1.5,0.0,True,1.5,ECO,future
EURONEXT,False,1.5,0.0,True,1.5,EMA,future
EURONEXT,False,1.5,0.0,True,1.5,FCE,future
EURONEXT,False,1.5,0.0,True,1.5,FTI,future
EURONEXT,False,1.5,0.0,True,1.5,MFA,future
EURONEXT,False,1.5,0.0,True,1.5,MFC,future
FORTS,False,1.0,0.0,True,1.0,,future
FORTS,False,1.0,0.0,True,1.0,BR,future
FORTS,False,1.0,0.0,True,1.0,CY,future
FORTS,False,1.0,0.0,True,1.0,ED,future
FORTS,False,1.0,0.0,True,1.0,EU,future
FORTS,False,1.0,0.0,True,1.0,GAZR,future
FORTS,False,1.0,0.0,True,1.0,GMKR,future
FORTS,False,1.0,0.0,True,1.0,GOLD,future
FORTS,False,1.0,0.0,True,1.0,HYDR,future
FORTS,False,1.0,0.0,True,1.0,LKOH,future
FORTS,False,1.0,0.0,True,1.0,MIX,future
FORTS,False,1.0,0.0,True,1.0,NOTK,future
FORTS,False,1.0,0.0,True,1.0,OFZ2,future
FORTS,False,1.0,0.0,True,1.0,OFZ4,future
FORTS,False,1.0,0.0,True,1.0,ROSN,future
FORTS,False,1.0,0.0,True,1.0,RTS,future
FORTS,False,1.0,0.0,True,1.0,SBPR,future
FORTS,False,1.0,0.0,True,1.0,SBRF,future
FORTS,False,1.0,0.0,True,1.0,Si,future
FORTS,False,1.0,0.0,True,1.0,SILV,future
FORTS,False,1.0,0.0,True,1.0,SNGP,future
FORTS,False,1.0,0.0,True,1.0,SNGR,future
FORTS,False,1.0,0.0,True,1.0,VTBR,future
HKEX,False,12.0,0.0,True,12.0,,future
HKEX,False,12.0,0.0,True,12.0,DHH,future
HKEX,False,12.0,0.0,True,12.0,DHS,future
HKEX,False,12.0,0.0,True,12.0,HHI,future
HKEX,False,12.0,0.0,True,12.0,HSI,future
ICE,False,1.5,0.0,True,1.5,B,future
ICE,False,4.0,0.0,True,4.0,B-T,future
ICE,False,1.5,0.0,True,1.5,C,future
ICE,False,2.5,0.0,True,2.5,CC,future
ICE,False,2.5,0.0,True,2.5,CER,future
ICE,False,2.5,0.0,True,2.5,CT,future
ICE,False,2.5,0.0,True,2.5,DX,future
ICE,False,1.5,0.0,True,1.5,G,future
ICE,False,2.5,0.0,True,2.5,IS,future
ICE,False,2.5,0.0,True,2.5,KC,future
ICE,False,5.0,0.0,True,5.0,N-O,future
ICE,False,2.5,0.0,True,2.5,OJ,future
ICE,False,2.5,0.0,True,2.5,R,future
ICE,False,1.5,0.0,True,1.5,RS,future
ICE,False,2.5,0.0,True,2.5,SB,future
ICE,False,2.5,0.0,True,2.5,T,future
ICE,False,1.5,0.0,True,1.5,TF,future
ICE,False,1.05,0.0,True,1.05,YG,future
ICE,False,1.5,0.0,True,1.5,YI,future
IDEM,False,0.0,0.0,True,1.5,,future
IDEM,False,1.5,0.0,True,1.5,MIB,future
IDEM,False,1.5,0.0,True,1.5,miniMIB,future
LIFFE,False,0.0,0.0,True,1.5,,future
LIFFE,False,1.5,0.0,True,1.5,C,future
LIFFE,False,1.5,0.0,True,1.5,I,future
LIFFE,False,1.5,0.0,True,1.5,L,future
LIFFE,False,1.5,0.0,True,1.5,RC,future
LIFFE,False,1.5,0.0,True,1.5,S,future
LIFFE,False,1.5,0.0,True,1.5,T,future
LIFFE,False,1.5,0.0,True,1.5,W,future
LIFFE,False,1.5,0.0,True,1.5,XZ,future
LIFFE,False,1.5,0.0,True,1.5,Z,future
MEFF,False,0.0,0.0,True,1.5,,future
MEFF,False,1.5,0.0,True,1.5,IBEX35,future
MEFF,False,1.5,0.0,True,1.5,mIBEX35,future
MIL,False,1.5,0.0,True,1.5,,future
NYMEX,False,1.5,0.0,True,1.5,,future
NYMEX,False,1.5,0.0,True,1.5,HRC,future
NYMEX,False,1.5,0.0,True,1.5,QG,future
NYMEX,False,1.5,0.0,True,1.5,QM,future
NYMEX,False,3.0,0.0,True,3.0,RB-HO,future
NYSELIFFEUS,False,2.5,0.0,True,2.5,,future
SGX,False,2.5,0.0,True,2.5,CN,future
SGX,False,2.5,0.0,True,2.5,IN,future
SGX,False,270.0,0.0,True,270.0,NK,future
SGX,False,2.25,0.0,True,2.25,SG,future
TOCOM,False,215.0,0.0,True,215.0,,future
,False,0.00005,0.0,True,0.00005,,fx_spot
CBOE,False,1.5,0.0,True,1.5,,option
CBOT,False,1.5,0.0,True,1.5,,option
CME,False,1.5,0.0,True,1.5,,option
CME,False,1.5,0.0,True,1.5,6A,option
CME,False,1.5,0.0,True,1.5,6B,option
CME,False,0.9,0.0,True,1.5,6E,option
CME,False,1.5,0.0,True,1.5,6E2,option
CME,False,1.5,0.0,True,1.5,6N,option
CME,False,1.5,0.0,True,1.5,ES,option
CME,False,1.5,0.0,True,1.5,EW,option
CME,False,1.5,0.0,True,1.5,EW1,option
CME,False,1.5,0.0,True,1.5,EW2,option
CME,False,1.5,0.0,True,1.5,EW3,option
